コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
4440,2024/08,3563000000,2479000000,2454174000,1452418000,-,-,614.38,68.8
4441,2023/10,3646902000,2136837000,2136837000,1607593000,-,195710000,202.39,58.6
4442,2024/03,5396068000,2826129000,2824544000,2237538000,115000000,768358000,139.26,52.3
4443,2024/05,37592000000,14772000000,13792000000,2648000000,-,3549000000,111.3,37.3
4444,2024/03,1627598000,1039126000,1039126000,478423000,-,108349000,509.77,63.8
4445,2023/09,2125097000,1451528000,1435909000,1078422000,-,46490000,1068.73,67.6
4446,2024/07,4638000000,2775000000,2476573000,1630526000,-,756620000,175.37,53.6
4447,2023/09,1980179000,1261347000,1261347000,646425000,-,24281000,194.88,63.7
4448,2023/12,6273490000,2422218000,2422218000,-3060060000,1300000,1114924000,59.66,38.6
4449,2023/12,22164000000,8305000000,7919000000,1519000000,-,991000000,271.16,36
4450,2023/12,4937553000,2794526000,2792905000,1959518000,-,650000000,978.19,56.6
4452,2023/12,1769746000000,1012043000000,983658000000,711802000000,14039000000,124441000000,2116.01,55.6
4461,2024/03,94537000000,41297000000,33551000000,19851000000,7847000000,18950000000,3839.83,38.9
4462,2024/03,27917590000,23106560000,22325081000,19280444000,-,-,1548.03,82.8
4463,2023/12,56918000000,32822000000,26566000000,22145000000,4100000000,3652000000,1906.55,52.9
4464,2024/03,62542995000,54627934000,54053149000,49189626000,-,190957000,2530.13,87.3
4465,2024/05,22741573000,13385165000,12910494000,11762265000,-,1929455000,2267.35,58.9
4471,2024/03,205818000000,141577000000,120134000000,99488000000,8682000000,1516000000,6295.27,67.6
4475,2023/09,6294786000,2415276000,2233167000,1476949000,-,-,74.17,38
4476,2023/12,2124610000,1679483000,1666404000,861705000,-,2685000,429.39,78.4
4477,2023/12,37297000000,13000000000,12995000000,-606000000,-,-,112.87,34.9
4478,2024/06,39953000000,16952000000,16723673000,-51757334000,4700000000,-,286.47,42
4479,2024/09,6645000000,5014000000,4966004000,-1306444000,-,-,390.21,74.7
4480,2023/12,25430000000,17637000000,17543000000,3802000000,-,928000000,542.46,69
4481,2023/12,16323338000,12457208000,11880228000,9702366000,-,-,647.22,74.4
4482,2023/12,3662734000,1853203000,1850717000,1556916000,266320000,37490000,89.35,50.5
4483,2024/03,122452000000,70686000000,70590000000,17166000000,22352000000,6574000000,1080.51,57.6
4484,2024/03,3517496000,1181635000,1181599000,-778098000,-,294350000,72.74,33.6
4485,2024/03,146620858000,54457757000,31220246000,-635282000,-,66295200000,1200.81,21
4486,2023/12,2612180000,1846426000,1846426000,1213555000,-,-,470.68,70.7
4487,2023/12,2045032000,551926000,517129000,-191977000,150000000,22747000,43.23,25.3
4488,2024/03,7206886000,4957957000,4957957000,1789729000,1600000000,13140000,1257.58,68.8
4489,2024/03,22217000000,13951417000,13951000000,5413212000,3675309000,-,776.08,62.8
4490,2024/02,7293867000,302195000,-3045064000,-12753162000,-,2873562000,25.64,3.2
4491,2024/03,4748342000,3197640000,3014229000,2255774000,-,-,1570.56,67.3
4492,2024/03,4520592000,2214477000,2214477000,1344459000,400000000,180000000,194.32,49
4493,2023/12,2781079000,1822531000,1793936000,915436000,-,91739000,190.13,64.6
4494,2024/02,7649933000,5548163000,3743219000,2745780000,200000000,1100000000,828.14,72.5
4495,2024/06,3609000000,2579000000,2578042000,2151179000,-,-,503.6,71.2
4496,2024/03,3882688000,2844974000,2465794000,2095031000,47000000,-,395.5,73.3
4498,2024/03,8417431000,6032467000,6025135000,3151357000,-,-,743.93,71.6
4499,2023/09,11295740000,5044241000,5041668000,2154380000,-,878055000,481.73,44.6
4502,2024/03,15108792000000,7274005000000,7273264000000,1391203000000,367251000000,4476501000000,4635.57,48.1
4503,2024/03,3569603000000,1595988000000,1595988000000,809400000000,472278000000,447738000000,890.07,44.7
4506,2024/03,907506000000,156136000000,156063000000,-22665000000,285517000000,133367000000,392.82,17.2
4507,2024/03,1416918000000,1252562000000,1235325000000,1065913000000,-,-,4357.54,87.2
4512,2024/03,15421054000,12026073000,10746626000,4711303000,100000000,-,346.51,78
4516,2024/03,263404000000,220534000000,220224000000,198260000000,-,-,3269.71,83.6
4519,2023/12,1932547000000,1625580000000,1625580000000,-,-,-,988.01,84.1
4521,2024/03,171623000000,143755000000,135207000000,128506000000,3850000000,-,3796.01,83.8
4523,2024/03,1393799000000,898975000000,875614000000,526490000000,24632000000,134773000000,3050.54,62.8
